ulasan,kategori,clean
bagus barang sesuai ekspektasi tapi sayang yang sampai tujuan lama,Positif,bagus barang sesuai ekspektasi sayang tuju lama
makasih selama ini telah menemani,Positif,makasih lama tani
"Bagus pelayanan sellernya, gercep. Harga murah, ada gratis ongkir. Terimakasih ada layanan COD juga.",Positif,bagus layan sellernya gercep harga murah gratis ongkir terimakasih layan cod
shopee sangat bagus untuk berbelanja dan juga mendapat kan vocer biar dapat potongan harga!!,Positif,shopee sangat bagus belanja dapat kan vocer biar potong harga
Alhamdulillah hirobil alam min saya bisa belanja online ada ya,Positif,alhamdulillah hirobil alam min belanja online
bagus,Positif,bagus
oke banget,Positif,oke banget
gjls sistem shope pay ny,Negatif,gjls sistem shope pay ny
i like,Positif,i like
AKUN TIBA TIBA KELAUR DI MASUKIN SANDI SALAH TERUS PADAHAL SANDINYA BENER SAMPE UJUNG UJUNGNYA AKUN DI BLOKIRRRR ADA SALDO 200K ILANG DI KORUPSI SHOPEE !!!!!,Negatif,akun tiba tiba laur masukin sandi salah terus padahal sandi bener sampe ujung ujung akun blokirrrr saldo k ilang korupsi shopee
sangat baik sekali belanja online tidak ribet,Positif,sangat baik sekali belanja online ribet
"ku uninstall soalnya iklan dimana-mana pas nonton film iklan selalu masuk ke toko yang ada di Shopee tolong perbaiki lagi regulasi nya 游똂, sangat menggangu",Negatif,ku uninstall soal iklan dimanamana pas nonton film iklan selalu masuk toko shopee baik regulasi nya sangat menggangu
sangat membantu dalam order,Positif,sangat bantu order
Alhamdulillah semenjak ada shopee belanja online lebih mudah dan muraah banyak promonya banyak coin foucer gratiisnya. thanks shopee semoga sukses terus yaa,Positif,alhamdulillah semenjak shopee belanja online lebih mudah muraah banyak promonya banyak coin foucer gratiisnya thanks shopee moga sukses terus yaa
memuaskan belanja jadi mudah,Positif,muas belanja jadi mudah
bagus keren apk ny,Positif,bagus keren apk ny
belanja online praktis,Positif,belanja online praktis
SIIIP,Positif,siiip
cukup baik,Positif,cukup baik
very god,Positif,very god
"Shopee sangat memuaskan konsumen, selalu langganan kesini kalau beli produk online 游땘",Positif,shopee sangat muas konsumen selalu langgan kesini kalau beli produk online
sangat bagus,Positif,sangat bagus
pake shopee pembayaran mudah aman & amanah terimakasih,Positif,pake shopee bayar mudah aman amanah terimakasih
bagus 游뱔游녨,Positif,bagus
"pesanannya cepat,harganya hemat, kurirnya mantap,tapi ada satu yg kurang,diskonnya kurang gede xixixi canda om shopee pokonya the best dehh..... mantap 游녨游녨游녨",Positif,pesan cepatharganya hemat kurir mantaptapi satu yg kurangdiskonnya kurang gede xixixi canda om shopee poko the best dehh mantap
pelayanan oke 游녨游녨游녨,Positif,layan oke
penjualan sangat membantu usaha dagang pemula,Positif,jual sangat bantu usaha dagang mula
ok,Positif,
saya sangat puas belanja dishopee,Positif,sangat puas belanja dishopee
"sejak shopee pake expedisi sendiri ya Allah lambatttttttt betul bisa 10 hari pdhl deket tpi 10 hari bener sekarang turun bgt performa kalian, makin lama tuh harusnya makin bagus bukan makin ancur mana semua di naikin biaya쑕ya tpi pengiriman lama bgt tolong lah kyk gt bagus skrang knp makin ancur ga costumer ga pejual jdi males tiap pengiriman selalu lama",Negatif,sejak shopee pake expedisi sendiri allah lambatttttttt betul hari pdhl deket tpi hari bener sekarang turun bgt performa kalian makin lama tuh harus makin bagus bukan makin ancur mana semua naikin biaya tpi kirim lama bgt lah kyk gt bagus skrang knp makin ancur ga costumer ga jual jdi males tiap kirim selalu lama
"Sudah banyak peningkatan pelayanan dishopee skrg, mdh2n kedepannya lebih baik lagi dan makin mengedepankan kepuasan konsumen.",Positif,banyak tingkat layan dishopee skrg mdhn depan lebih baik makin depan puas konsumen
80% puas,Positif,puas
baik cara cod lagi gimana iya fitur cod saya ngak bisa,Positif,baik cara cod gimana iya fitur cod ngak
ok mantap,Positif,mantap
Tolong di atur Cod nya bayar di tempat dong,Positif,atur cod nya bayar tempat dong
sangat penting,Positif,sangat penting
jujur sangat menyukai shopee.mudah amanah,Positif,jujur sangat suka shopeemudah amanah
top,Positif,top
sangat memuaskn,Positif,sangat memuaskn
mantap,Positif,mantap
pkoneee mntapp poolll,Positif,pkoneee mntapp poolll
barang nya bagus dan aplikasi nay ramah,Positif,barang nya bagus aplikasi nay ramah
bagus,Positif,bagus
Belanja di shopee memang ok,Positif,belanja shopee memang
"shopee ini sangat2 membantu aq bgt , di saat aq lg punya baby jd gak harus keluar rumah malah sdh smpe didepan rumah yg di beli , makasih shopee lancar trss",Positif,shopee sangat bantu aq bgt aq lg punya baby jd gak keluar rumah malah sdh smpe depan rumah yg beli makasih shopee lancar trss
prodak nya bagus dan harga bisa bersaing dengan toko offline,Positif,prodak nya bagus harga saing toko offline
bagus,Positif,bagus
cari driver shopefood susah amat dah weh,Negatif,cari driver shopefood susah dah weh
sangat membantu bagi saya maju terus,Positif,sangat bantu maju terus
sangat puas,Positif,sangat puas
游녨,Positif,
the best,Positif,the best
ok,Positif,
"lebih mudah mendapat barang yg kita cari, tanpa harus susah payah ke toko toko utk menyakan stok",Positif,lebih mudah dapat barang yg cari susah payah toko toko utk nyak stok
membantu memenuhi kebutuhan rumah tangga tanpa repot keluar,Positif,bantu penuh butuh rumah tangga repot keluar
ok,Positif,
bagus aplikasinya,Positif,bagus aplikasi
Ok,Positif,
kenapa jnt di hapus,Negatif,jnt hapus
okeee,Positif,okeee
kenapa pas mau belanja uang yg disaldo ga bisa dipake malah suruh nyari pilihan pembayaran.ko makin aneh aplikasinya jadi males lagi belaja di ini app oren,Negatif,pas mau belanja uang yg saldo ga dipake malah suruh nyari pilih pembayaranko makin aneh aplikasi jadi males baja app oren
dengan apk ini sangat bermanfaat sekali....,Positif,apk sangat manfaat sekali
katanya sesuai estimasi di iklan nya lah di dunia nyata enggak,Negatif,kata sesuai estimasi iklan nya lah dunia nyata enggak
"sekarang udh mulai susah dpt voucher diskon, meskipun udh join shopee VIP ujung""nya juga tetep susah dpt",Negatif,sekarang udh mulai susah dpt voucher diskon meski udh join shopee vip ujung tetep susah dpt
"tolong dilihat sejarah akun saya, gara-gara spx gagal antar kenapa akun saya yang disalahkan. kalau spx timika yg gagal antar mungkin salah saya, tapi ini spx jakarta yg tidak mampu menerbangkan paket saya!!! tolong lihat sejarah akun saya dan aktifkan kembali COD saya.",Negatif,lihat sejarah akun garagara spx gagal antar akun salah kalau spx timika yg gagal antar mungkin salah spx jakarta yg mampu terbang paket lihat sejarah akun aktif cod
Pelayanan bagus,Positif,layan bagus
semoga sukses,Positif,moga sukses
belanja jadi lebih mudah dan murah. respon begitu cepat. mantap...!,Positif,belanja jadi lebih mudah murah respon cepat mantap
senang sekali bisa belanja di shopee karena bisa belanja dengan mudah & murah gratis ongkir juga.. terimakasih shopee,Positif,senang sekali belanja shopee belanja mudah murah gratis ongkir terimakasih shopee
hebat,Positif,hebat
semoga sukses selalu,Positif,moga sukses selalu
"sesudah update malah chat ke pelapak skrng jd susah, tdk seperti sblmnya, klu spt ini kayaknya pindah aplikasi aja ya kali",Negatif,update malah chat lapak skrng jd susah tdk sblmnya klu spt kayak pindah aplikasi aja kali
"mantap, semoga selalu amanah ya Shopee",Positif,mantap moga selalu amanah shopee
"rate 2 dulu, belanja d Shopee enak banyak voucher juga minus d pengiriman nya, dah 6 hari paket blm sampe juga, padahal posisi pemberhentian terakhir sampe ke rumah cuma 40 menit, ttp aja 3 an g d proses d sana.",Negatif,rate dulu belanja d shopee enak banyak voucher minus d kirim nya dah hari paket blm sampe padahal posisi henti akhir sampe rumah cuma menit ttp aja an g d proses d sana
"bagus secara aplikasi games,belanja, shoping lengkap..",Positif,bagus aplikasi gamesbelanja shoping lengkap
"praktis, murah",Positif,praktis murah
Pelayanan sangat memuaskan tak pernah sekalipun aku kecewa,Positif,layan sangat muas tak pernah sekalipun aku kecewa
"Sangat puas, pesanan sesuai dengan barang yang dipesan dan tepat waktu",Positif,sangat puas pesan sesuai barang pes tepat waktu
murah murah barangnya,Positif,murah murah barang
penangangan customer service nya dalam penanganan kurir shopee nya top jempolan gercep.,Positif,penangangan customer service nya tangan kurir shopee nya top jempol gercep
knp uang di sophee pay saya sula hilang seribu...seribu...seribu..,Negatif,knp uang sophee pay sula hilang seribuseribuseribu
Murah tepat waktu dan mudah,Positif,murah tepat waktu mudah
terbaik,Positif,baik
hrgy terjangkau,Positif,hrgy jangkau
mntuull,Positif,mntuull
Terimakasih,Positif,terimakasih
baik,Positif,baik
terimakasih sdh dimudahkan,Positif,terimakasih sdh mudah
bagus pelayanan shopee maju terus agar cutomer bertambah banyak,Positif,bagus layan shopee maju terus cutomer tambah banyak
Terima kasih Shopee 游땒,Positif,terima kasih shopee
Sangat Profesional,Positif,sangat profesional
shopee memuaskan terima kasih,Positif,shopee muas terima kasih
perhatikan jasa kirim shopee kalo kebiasaan gagal pengantaran blokir aja jasa kirim dari shope.. bukan skali gagal pengiriman tapi tiap mesen paket jalur sicepat pasti ada kata gagal kirim perhatikan baik baik.,Negatif,perhati jasa kirim shopee kalo biasa gagal antar blokir aja jasa kirim shope bukan skali gagal kirim tiap mesen paket jalur sicepat kata gagal kirim perhati baik baik
sungguh sangat penting,Positif,sungguh sangat penting
baru kali ini pesanan saya ditunda Ampe 2 hari padahal udah Deket sekitar 800 meteran malah di tunda nyampe 2hari,Negatif,baru kali pesan tunda ampe hari padahal udah deket meter malah tunda nyampe hari
sangat cepat menanggapi masalah pembeli游녨游녨游녨,Positif,sangat cepat tanggap masalah beli
"cukup bintang bersinar di malam hari, cukup bintang yang jelaskan,, intinya mantap jaya shopee,,游땒",Positif,cukup bintang sinar malam hari cukup bintang jelas inti mantap jaya shopee
apk bagus mudah di gunakan saran no tlfn kurir di cantumkan jadi mudah untuk menghubungi,Positif,apk bagus mudah guna saran no tlfn kurir cantum jadi mudah hubung
mantap,Positif,mantap
mantap,Positif,mantap
berguna sekali,Positif,guna sekali
sangat bermanfaat,Positif,sangat manfaat
"suka banget sama aplikasi ini, sangat memuaskan.",Positif,suka banget sama aplikasi sangat muas
Bagus mantap,Positif,bagus mantap
"sangat membantu..., ok, mantaab...!!!",Positif,sangat bantu mantaab
guuuud,Positif,guuuud
"gausah ada fitur asisten ai, malah jadinya ga ada notif , jawaban ga nyambung",Negatif,gausah fitur asisten ai malah jadi ga notif jawab ga nyambung
goof lah,Positif,goof lah
barang selalu amanah,Positif,barang selalu amanah
enak,Positif,enak
sangat membantu,Positif,sangat bantu
bagus,Positif,bagus
belanja aman dan terpercaya,Positif,belanja aman percaya
"Sya kecewa beli hp vivo Y66 di shopee tnyata hp nya rakitan shopee ko bisa nya menipu konsumen,??? ... !!!, Klo hp rakitan lebih baik di bakar gk usah di jual, wa nya gk bisa di pkai sya dh beli 4 krtu di spam trs, krna yg merakit hp ini dh tau no tlp dan akun sya, mohon di bls dan shopee hrs gnti rugi krna biar nm shopee bgs di kalangn masyarakt, sya minta di pulngkan lg hp ini buat apa klo gk bisa di WA cuma di fb aja, wa kan sngt penting buat bisnis kbr lain dgn saudara dan tmn"" paham, bls",Negatif,sya kecewa beli hp vivo y shopee tnyata hp nya rakit shopee ko nya tipu konsumen klo hp rakit lebih baik bakar gk usah jual wa nya gk pkai sya dh beli krtu spam trs krna yg rakit hp dh tau no tlp akun sya mohon bls shopee hrs gnti rugi krna biar nm shopee bgs kalangn masyarakt sya minta pulngkan lg hp buat apa klo gk wa cuma fb aja wa kan sngt penting buat bisnis kbr dgn saudara tmn paham bls
sangat membantu kepada saya yg tinggal di pulau gratis ongkir trs ya 游때terima kasih shopee 游똂,Positif,sangat bantu yg tinggal pulau gratis ongkir trs terima kasih shopee
"seneng banget sekarang shopee banyak promo, banyak gratis ongkir, tpi maaf bangett pengiriman agak lama tapi aku ttep masih pake jasa shopee meskipun J&T sudah tidak beroperasi dengan shopee lagi.. Makasih Shopee",Positif,neng banget sekarang shopee banyak promo banyak gratis ongkir tpi maaf bangett kirim lama aku ttep pake jasa shopee meski jt operasi shopee makasih shopee
baguss,Positif,baguss
sangat membantu bangett,Positif,sangat bantu bangett
"bagus banget, sesuai kebutuhan",Positif,bagus banget sesuai butuh
oke,Positif,oke
游녨游녨,Positif,
baik,Positif,baik
Alhamdulillah 游 Rata **Penjual nya di Shopee Amanah & lumayan memuaskan customer nya 游녨 Barakallahu fiik,Positif,alhamdulillah rata jual nya shopee amanah lumayan muas customer nya barakallahu fiik
sangat membantu,Positif,sangat bantu
fav ecommerce,Positif,fav ecommerce
Ok,Positif,
barang sesuai pesanan,Positif,barang sesuai pesan
kontooooooolll,Negatif,kontooooooolll
aplikasi ini terlalu lemot bila login dan kebanyakan iklan !!!!,Negatif,aplikasi terlalu lot bila login banyak iklan
sangat membantu..puas dengan shopy,Positif,sangat membantupuas shopy
Terimakasih Shopee,Positif,terimakasih shopee
sangat membantu berbelanja online,Positif,sangat bantu belanja online
Mantap,Positif,mantap
"aplikasinya bagus,saya suka berbelanja dishopee tapi kenapa di aplikasi shopee saya, kok shopepay saya cuma dapat 3x cicilan,,tidak sampai 12x cicilan,",Positif,aplikasi bagussaya suka belanja dishopee aplikasi shopee kok shopepay cuma x cicilantidak x cicil
good,Positif,good
mantap,Positif,mantap
"bintang satu, sampe akun yg di bekukan sementara aktiv lg, baru bintang 10",Negatif,bintang satu sampe akun yg beku aktiv lg baru bintang
Shopee mohon lebih di tingkatkan ya mohon di cantumkan nomor kurir di rincihan pesanan ya,Negatif,shopee mohon lebih tingkat mohon cantum nomor kurir rincih pesan
"pembayaran nya tambahin dana, gopay, ovo min",Positif,bayar nya tambahin dana gopay ovo min
sangat...memuaskan belanja di sopie..termurah terbaik...,Positif,sangatmemuaskan belanja sopietermurah baik
"ubah alamat saya, supaya setiap keluar uang sia, aplikasi penipu",Negatif,ubah alamat keluar uang sia aplikasi tipu
sangat mudah,Positif,sangat mudah
pokoknya mantul,Positif,pokok mantul
aplikasi gajelas ga minat pengiriman sangat lambat,Negatif,aplikasi gajelas ga minat kirim sangat lambat
Lengkap dan banyak harga yg murah,Positif,lengkap banyak harga yg murah
"banyak Bug buka apapun (Keranjang, pesanan dll) selalu buffering layar putih dan tolong search engine diperbaiki jangan hanya menggunakan kata umum sehingga saat mencari kata spesifik tidak ada yang muncul. saya mencari buku Hyperion karya Dan simmons tidak muncul (bahkan mencari kata hyperion saja tidak muncul apa-apa) tapi saat di search di google buku tersebut ada dengan nama yang sama di Shopee.",Negatif,banyak bug buka apa keranjang pesan selalu buffering layar putih search engine baik jangan guna kata umum cari kata spesifik muncul cari buku hyperion karya simmons muncul bahkan cari kata hyperion muncul apaapa search google buku sebut nama sama shopee
bagus,Positif,bagus
mantaaap,Positif,mantaaap
mantap,Positif,mantap
"Shopee oke, mudah, simple, mantep",Positif,shopee oke mudah simple mantep
"Ini Pengiriman Kurir SPX Reguler/Hemat sangat menyusahkan para Penjual, Drop Point-nya banyak yg sudah TUTUP dan tidak ada pilihan Pick Up by Kurir'nya, mendingan Paket'nya dapat di Drop di seluruh Gerai Alfamart saja, supaya tidak menyusahkan para Seller'nya ini, atau Pembeli diberikan pilihan Kurir lain seperti J&T, Anteraja, dan ID Express, itu jauh lebih bagus.",Positif,kirim kurir spx regulerhemat sangat susah jual drop point banyak yg tutup pilih pick up by kurir mending paket drop seluruh gerai alfamart susah sellernya beli beri pilih kurir jt anteraja id express jauh lebih bagus
"aplikasi ini sangat membantu untuk kaum mager seperti saya, plus banyak promo dan banyak pilihan barang, namun sayangnya kadang ada penjual yang kurang ramah dan pengiriman yang berbeda dari dulu.",Positif,aplikasi sangat bantu kaum mager plus banyak promo banyak pilih barang sayang kadang jual kurang ramah kirim beda dulu
bagus baik,Positif,bagus baik
terus tingkat lagi promo2 gratis ongkirnya pee..lalu banyak2in pula promo2 voucher murah meriah pee..krn program 5.5 saya mau shooping lagi pee.,Positif,terus tingkat promo gratis ongkirnya peelalu banyakin promo voucher murah riah peekrn program mau shooping pee
"pengiriman cepat,ok",Positif,kirim cepatok
Brg cpt nyampenya.,Positif,brg cpt nyampenya
banyak gratis ongkirnyaa,Positif,banyak gratis ongkirnyaa
saya suka Shopee kasih saya diskon 80 - 90 % ya,Positif,suka shopee kasih diskon
bagussssssssss,Negatif,bagussssssssss
selama beli makanan ringan bagus terus,Positif,lama beli makan ringan bagus terus
baik amanah,Positif,baik amanah
beberapa kali shopping online dengan shopee.... cukup baik untuk layanan kepada konsumen... semoga semakin baik kedepannya...dan terus jaya,Positif,beberapa kali shopping online shopee cukup baik layan konsumen moga makin baik kedepannyadan terus jaya
sangat membantu,Positif,sangat bantu
sering. belanja sini to kok bnyak problem,Positif,sering belanja sini to kok bnyak problem
sangat puas,Positif,sangat puas
belanja makin mudah,Positif,belanja makin mudah
"Shopee sangat membantu sekali dalam hal cari barang, cuma aplikasi sangat berat",Positif,shopee sangat bantu sekali cari barang cuma aplikasi sangat berat
bagus,Positif,bagus
游녨,Positif,
mantap,Positif,mantap
jaga kualitas pesanan yg bermutu,Positif,jaga kualitas pesan yg mutu
mantap shopee super cepat,Positif,mantap shopee super cepat
sesuai dengan harga,Positif,sesuai harga
good,Positif,good
saya suka belanja di Shopee,Positif,suka belanja shopee
terbaik,Positif,baik
sangat membantu,Positif,sangat bantu
aplikasi ini sangat membantu,Positif,aplikasi sangat bantu
gas terus Shopee,Positif,gas terus shopee
mantabs,Positif,mantabs
Bermanfaat dan mempermudah dalam usaha atau belanja saya,Positif,manfaat mudah usaha belanja
cepat penangananya,Positif,cepat penangananya
mantap,Positif,mantap
mantap,Positif,mantap
saya senang pelayanan cod shopee bisa pesan apasaja tepat waktu lancar dan kwalitas barang terjaga shopee jawaban keinginan blanja onlane terbaik kurirnya juga ramah,Positif,senang layan cod shopee pesan apasaja tepat waktu lancar kwalitas barang jaga shopee jawab ingin blanja onlane baik kurir ramah
sangat memuaskan,Positif,sangat muas
JNT EXPRES PADAHAL YANG TERBAIK KOK MALAH DI HILANGKAN... SPX DLL RIBET DAN LAMA... SAYA SELALU BELANJA DI SHOPEE PAKAI JNT EXSPRES TIDAK PERNAH MENGECEWAKAN... JASA KIRIM TERBAIK MALAH DI HILANGKAN... JASA KIRIM YANG BERMASALAH MALAH DI PERTAHANKAN... HARUSNYA NINJA DAN SI CEPAT YG DI HAPUS BUKAN JNT,Negatif,jnt expres padahal baik kok malah hilang spx ribet lama selalu belanja shopee pakai jnt exspres pernah kecewa jasa kirim baik malah hilang jasa kirim masalah malah tahan harus ninja si cepat yg hapus bukan jnt
gacorr lee,Positif,gacorr lee
"sesuai pesanan, tepat waktu n kurir ramah",Positif,sesuai pesan tepat waktu n kurir ramah
shoppe food nya lama bgt skrg proses nya,Negatif,shoppe food nya lama bgt skrg proses nya
Sangat membantu,Positif,sangat bantu
bagus dan gk ngecewain,Positif,bagus gk ngecewain
sya senang dengan aplikasi ini,Positif,sya senang aplikasi
good,Positif,good
"time analisah shopee kenapa spaylater saya dibatasin/dibekukan tanpa batas waktu, degan alasan ada riwayat keterlambatan...apakah orang gak boleh salah... saya diakun sebelah pernah keterlambatan tapi sangsi nya cuma 1 bulan aja, setelah itu langsung aktif lgh dan kasih pasilitas lgh.",Positif,time analisah shopee spaylater dibatasindibekukan batas waktu degan alas riwayat keterlambatanapakah orang gak salah akun belah pernah lambat sangsi nya cuma bulan aja langsung aktif lgh kasih pasilitas lgh
baik,Positif,baik
sangat membantu dan mudah di akses,Positif,sangat bantu mudah akses
99%游녨,Positif,
bagus bisa shoping,Positif,bagus shoping
Oke,Positif,oke
lambat ngirimnya,Positif,lambat ngirimnya
"min kenapa kurir spx nya kagak dtraining dlu soalnyaa bayar cod gk ssuai smaa harga yg tertera masa lebihan uangnyaa buat dia ,emang sekarang pakai ongkir lgi kh diluar shopee.manaa paket sayaa salah alamat malah diiizinkn dbuka dtempat sma org yg salah, padahal gak ad cod cek dlu .saya kecewa sekali sma pelayanan spxnya mending jnt.balikin jnt lgi",Negatif,min kurir spx nya kagak dtraining dlu soalnyaa bayar cod gk ssuai smaa harga yg tera masa lebih uangnyaa buat emang sekarang pakai ongkir lgi kh luar shopeemanaa paket sayaa salah alamat malah diiizinkn dbuka dtempat sma org yg salah padahal gak ad cod cek dlu kecewa sekali sma layan spxnya mending jntbalikin jnt lgi
Suka gratis ongkirnya. Lanjutkan.游녨游녨游,Positif,suka gratis ongkirnya lanjut
ok,Positif,
mantap,Positif,mantap
bagus,Positif,bagus
bagus,Positif,bagus
Bagus,Positif,bagus
oke,Positif,oke
barang berkualitas dan bebas ongkir,Positif,barang kualitas bebas ongkir
bagusssssssssssssss,Positif,bagusssssssssssssss
"mantepp dehh banyak voucher"" nya jugaa dan produk nyaa aman",Positif,mantepp dehh banyak voucher nya jugaa produk nyaa aman
Tingkatkan terus full diskon,Positif,tingkat terus full diskon
ok,Positif,
sangat bagus.trimakasih shoppi,Positif,sangat bagustrimakasih shoppi
Good kualitas,Positif,good kualitas
"SHOPEE PELAYANAN NYA SEKARANG SANGAT TIDAK RESPONSIF. SANGAT MEMBERATKAN KE SELLER. PERTAMA, FITUR BLOKIR PENGGUNA DI HILANGKAN DIGANTI DENGAN FITUR LAPORKAN DAN BANTUAN. ITU TIDAK ADA SOLUSI JUGA KARNA SETELAH DILAPORKAN PUN. DARI SHOPEE TIDAK ADA UPDATE APAPUN MENGENAI LAPORANNYA. TERUS FITUR CHAT LANGSUNG DENGAN CS JUGA TIDAK SEPERTI DULU LANGSUNG RESPON. SEKARANG HARUS NUNGGU DULU BER JAM JAM KALAU PERLU BANTUAN. BUKANNYA LEBIH BAIK MALAH LEBIH BAD",Negatif,shopee layan nya sekarang sangat responsif sangat berat seller pertama fitur blokir guna hilang ganti fitur lapor bantu solusi karna lapor shopee update apa kena lapor terus fitur chat langsung cs dulu langsung respon sekarang nunggu dulu ber jam jam kalau perlu bantu bukan lebih baik malah lebih bad
"Manajemen shopee, ganti orang2 SPX cabang kota Sabang Aceh, klo gak sanggup ngapain mereka tampung banyak, anggota sedikit... pret lah...",Negatif,manajemen shopee ganti orang spx cabang kota sabang aceh klo gak sanggup ngapain tampung banyak anggota sedikit pret lah
sangat baik,Positif,sangat baik
puas banget belanja disini,Positif,puas banget belanja sini
"puas belanja di shopee, makanya jadi selalu berlangganan di shopee, tapi terkadang ada seller yang memang kurang amanah, tapi hanya beberapa saja, lebih banyak seller yang amanah, terimakasih buat seller yang sudah amanah, semoga berkah, dengan adanya shopee membuat semua yang dibeli menjadi mudah.",Positif,puas belanja shopee makanya jadi selalu langgan shopee terkadang seller memang kurang amanah beberapa lebih banyak seller amanah terimakasih buat seller amanah moga berkah ada shopee buat semua beli jadi mudah
aplikasi nya bagus dan terbaik,Positif,aplikasi nya bagus baik
Saya sangat suka dengan shopee karena shopee memiliki banyak barang dan pengiriman yang sangat cepat mendingan kalian download shopee,Positif,sangat suka shopee shopee milik banyak barang kirim sangat cepat mending kalian download shopee
barangnya sesuai pesanan,Positif,barang sesuai pesan
"bagus,memuaskan",Positif,bagusmemuaskan
keren sophi ... sukses selalu 游녨游녨,Positif,keren sophi sukses selalu
bagus,Positif,bagus
"Shopee sekarang tidak royal seperti dulu, sekarang gratis ongkirnya cuman 1칑 aja, dulu satu minggu bisa 3 sampai 4칑 gratis ongkir, pengiriman estimasinya sangat lamban, estimasi pagi dapat paketnya sore hari, perlu di perbaiki semuanya, kembalikan shoppe seperti dulu lagi...",Negatif,shopee sekarang royal dulu sekarang gratis ongkirnya cuman aja dulu satu minggu gratis ongkir kirim estimasi sangat lamban estimasi pagi paket sore hari perlu baik semua kembali shoppe dulu
baik sekali pelayananya.,Positif,baik sekali pelayananya
